"","flybasecg","flybase","pass.min.cells","is.mito","chr","start","end","strand","transcript.length"
"snRNA:U3","CR31927","FBgn0003926",FALSE,FALSE,NA,NA,NA,NA,NA
"CG43402","CG43402","FBgn0263321",TRUE,FALSE,"2L",1442627,1443832,"+",1206
"CG31928","CG31928","FBgn0051928",FALSE,FALSE,"2L",1492295,1493859,"+",1565
"CG33128","CG33128","FBgn0053128",FALSE,FALSE,"2L",1494070,1495456,"+",1387
"CG31926","CG31926","FBgn0051926",FALSE,FALSE,"2L",1495460,1497071,"+",1612
"CG31661","CG31661","FBgn0051661",FALSE,FALSE,"2L",1497243,1498583,"+",1341
"CG18131","CG18131","FBgn0031343",TRUE,FALSE,"2L",1498455,1500608,"-",2154
"CG7420","CG7420","FBgn0031344",TRUE,FALSE,"2L",1500784,1502904,"-",2121
"asRNA:CR44064","CR44064","FBgn0264873",TRUE,FALSE,"2L",1500830,1504204,"+",3375
"CG18132","CG18132","FBgn0031345",TRUE,FALSE,"2L",1516795,1517478,"-",684
"halo","CG7428","FBgn0001174",FALSE,FALSE,"2L",1517533,1518148,"-",616
"Or22a","CG12193","FBgn0026398",FALSE,FALSE,"2L",1520491,1522156,"+",1666
"Or22b","CG4231","FBgn0026397",FALSE,FALSE,"2L",1522697,1524257,"+",1561
"haf","CG14351","FBgn0261509",TRUE,FALSE,"2L",1555129,1609389,"+",54261
"nis","CG10869","FBgn0031347",TRUE,FALSE,"2L",1584866,1587155,"-",2290
"Rab3GAP1","CG31935","FBgn0051935",TRUE,FALSE,"2L",1594822,1611157,"-",16336
"CG14352","CG14352","FBgn0031351",TRUE,FALSE,"2L",1611410,1612576,"+",1167
"RFeSP","CG7361","FBgn0021906",TRUE,FALSE,"2L",1612429,1614160,"-",1732
"lncRNA:CR44603","CR44603","FBgn0265814",FALSE,FALSE,"2L",1618637,1626021,"-",7385
"lncRNA:CR45695","CR45695","FBgn0267259",FALSE,FALSE,"2L",1646932,1647163,"-",232
"chinmo","CG31666","FBgn0086758",TRUE,FALSE,"2L",1651258,1704682,"+",53425
"cpb","CG17158","FBgn0011570",TRUE,FALSE,"2L",1704902,1706962,"+",2061
"CG17660","CG17660","FBgn0031356",TRUE,FALSE,"2L",1707132,1710421,"-",3290
"asRNA:CR44976","CR44976","FBgn0266311",TRUE,FALSE,"2L",1708452,1709244,"+",793
"mRpL48","CG17642","FBgn0031357",TRUE,FALSE,"2L",1710462,1711465,"+",1004
"frtz","CG17657","FBgn0086698",TRUE,FALSE,"2L",1711302,1715851,"-",4550
"Rim2","CG18317","FBgn0031359",TRUE,FALSE,"2L",1716244,1724388,"-",8145
"Eno","CG17654","FBgn0000579",TRUE,FALSE,"2L",1724768,1729636,"-",4869
"Rrp40","CG31938","FBgn0260648",TRUE,FALSE,"2L",1728732,1729762,"+",1031
"CG31937","CG31937","FBgn0031360",TRUE,FALSE,"2L",1729887,1731070,"+",1184
"CG17652","CG17652","FBgn0031361",TRUE,FALSE,"2L",1731033,1732356,"-",1324
"CG17646","CG17646","FBgn0264494",TRUE,FALSE,"2L",1732524,1750612,"+",18089
"CG17712","CG17712","FBgn0027597",TRUE,FALSE,"2L",1750687,1752122,"-",1436
"CG17648","CG17648","FBgn0031364",TRUE,FALSE,"2L",1752308,1752848,"+",541
"Gr22f","CG31932","FBgn0041249",FALSE,FALSE,"2L",1755253,1756451,"-",1199
"CG17650","CG17650","FBgn0031365",TRUE,FALSE,"2L",1758286,1759093,"-",808
"Gr22e","CG31936","FBgn0045497",FALSE,FALSE,"2L",1784062,1785286,"+",1225
"Gr22d","CG31930","FBgn0045498",FALSE,FALSE,"2L",1789141,1790361,"-",1221
"Gr22c","CG31929","FBgn0265138",FALSE,FALSE,"2L",1790617,1791823,"-",1207
"Gr22b","CG31931","FBgn0045500",FALSE,FALSE,"2L",1792057,1793268,"-",1212
"Gr22a","CG31662","FBgn0045501",FALSE,FALSE,"2L",1793668,1794917,"-",1250
"CG31933","CG31933","FBgn0051933",TRUE,FALSE,"2L",1821256,1823331,"-",2076
"CG31664","CG31664","FBgn0051664",FALSE,FALSE,"2L",1824172,1826500,"-",2329
"c-cup","CG15623","FBgn0031367",TRUE,FALSE,"2L",1831627,1832565,"-",939
"mir-2280","CR42982","FBgn0262275",FALSE,FALSE,"2L",1831685,1831799,"-",115
"wry","CG31665","FBgn0051665",FALSE,FALSE,"2L",1836538,1858550,"+",22013
"lncRNA:CR44073","CR44073","FBgn0264882",TRUE,FALSE,"2L",1839494,1839896,"-",403
"lncRNA:CR44074","CR44074","FBgn0264883",FALSE,FALSE,"2L",1840070,1840808,"-",739
"CG31663","CG31663","FBgn0051663",TRUE,FALSE,"2L",1858609,1881480,"-",22872
"CG7295","CG7295","FBgn0031372",TRUE,FALSE,"2L",1869803,1871032,"+",1230
"lncRNA:CR44075","CR44075","FBgn0264884",TRUE,FALSE,"2L",1872693,1873511,"+",819
"CG15358","CG15358","FBgn0031373",FALSE,FALSE,"2L",1882008,1883214,"-",1207
"Wdr62","CG7337","FBgn0031374",TRUE,FALSE,"2L",1884622,1944289,"+",59668
"tRNA:Gly-GCC-1-1","CR31667","FBgn0011859",FALSE,FALSE,"2L",1938089,1938159,"-",71
"CG15357","CG15357","FBgn0040719",TRUE,FALSE,"2L",1945150,1945709,"-",560
"CG33673","CG33673","FBgn0053673",TRUE,FALSE,"2L",1945815,1946728,"-",914
"erm","CG31670","FBgn0031375",FALSE,FALSE,"2L",1950239,1970362,"-",20124
"tRNA:Arg-TCT-2-1","CR31942","FBgn0051942",FALSE,FALSE,"2L",1965426,1965498,"+",73
"Der-1","CG10908","FBgn0267972",TRUE,FALSE,"2L",1973957,1975413,"+",1457
"CG15356","CG15356","FBgn0031377",TRUE,FALSE,"2L",1975463,1980755,"-",5293
"CG15362","CG15362","FBgn0031378",TRUE,FALSE,"2L",1981176,1982099,"+",924
"CG7289","CG7289","FBgn0031379",TRUE,FALSE,"2L",1982217,1984514,"+",2298
"Got2","CG4233","FBgn0001125",TRUE,FALSE,"2L",1984512,1987758,"-",3247
"Npc2a","CG7291","FBgn0031381",TRUE,FALSE,"2L",1988290,1988940,"+",651
"lncRNA:CR42874","CR42874","FBgn0262148",FALSE,FALSE,"2L",1989450,1990894,"+",1445
"Obp22a","CG31941","FBgn0043539",TRUE,FALSE,"2L",1991381,1992160,"-",780
"CG33543","CG33543","FBgn0053543",FALSE,FALSE,"2L",1997102,2006313,"-",9212
"asRNA:CR43464","CR43464","FBgn0263441",TRUE,FALSE,"2L",2000058,2003935,"+",3878
"CG15353","CG15353","FBgn0040718",FALSE,FALSE,"2L",2006763,2007193,"-",431
"asRNA:CR45712","CR45712","FBgn0267276",FALSE,FALSE,"2L",2006867,2007688,"+",822
"Nplp4","CG15361","FBgn0040717",FALSE,FALSE,"2L",2008414,2009072,"+",659
"tRNA:Gln-CTG-2-2","CR31943","FBgn0051943",FALSE,FALSE,"2L",2009155,2009226,"+",72
"tRNA:Gln-CTG-2-3","CR31944","FBgn0051944",FALSE,FALSE,"2L",2009538,2009609,"+",72
"CG4238","CG4238","FBgn0031384",TRUE,FALSE,"2L",2009859,2030788,"+",20930
"tRNA:Gln-CTG-2-4","CR31939","FBgn0051939",FALSE,FALSE,"2L",2010646,2010717,"-",72
"tRNA:Gln-CTG-3-1","CR31940","FBgn0051940",FALSE,FALSE,"2L",2010869,2010940,"-",72
"tRNA:Gln-CTG-2-5","CR31669","FBgn0051669",FALSE,FALSE,"2L",2013179,2013250,"-",72
"snoRNA:Or-CD14","CR46374","FBgn0286732",FALSE,FALSE,"2L",2014449,2014575,"-",127
"tRNA:Gly-GCC-1-2","CR31945","FBgn0011860",FALSE,FALSE,"2L",2031692,2031762,"+",71
"CG42296","CG42296","FBgn0259192",FALSE,FALSE,"2L",2032519,2036041,"-",3523
"lectin-22C","CG42295","FBgn0259230",FALSE,FALSE,"2L",2036409,2037265,"-",857
"Su(dx)","CG4244","FBgn0003557",TRUE,FALSE,"2L",2037714,2044372,"+",6659
"lncRNA:CR45298","CR45298","FBgn0266836",FALSE,FALSE,"2L",2044517,2045381,"-",865
"Kebab","CG31672","FBgn0028952",TRUE,FALSE,"2L",2045494,2048054,"+",2561
"Or22c","CG15377","FBgn0026396",FALSE,FALSE,"2L",2054589,2057967,"+",3379
"dpr3","CG33516","FBgn0053516",TRUE,FALSE,"2L",2058790,2109878,"-",51089
"CG12674","CG12674","FBgn0031388",TRUE,FALSE,"2L",2079919,2081286,"+",1368
"lncRNA:CR44808","CR44808","FBgn0266043",FALSE,FALSE,"2L",2082031,2082347,"+",317
"lncRNA:CR44055","CR44055","FBgn0264864",TRUE,FALSE,"2L",2083362,2084419,"+",1058
"CG4259","CG4259","FBgn0031389",TRUE,FALSE,"2L",2127309,2129237,"-",1929
"GlyP","CG7254","FBgn0004507",TRUE,FALSE,"2L",2130813,2137296,"+",6484
"tho2","CG31671","FBgn0031390",TRUE,FALSE,"2L",2137350,2145187,"-",7838
"CG11723","CG11723","FBgn0031391",TRUE,FALSE,"2L",2145297,2147275,"-",1979
"TBCD","CG7261","FBgn0027509",TRUE,FALSE,"2L",2147518,2151664,"+",4147
"AIF","CG7263","FBgn0031392",TRUE,FALSE,"2L",2151754,2155389,"+",3636
"CG15382","CG15382","FBgn0031393",TRUE,FALSE,"2L",2155753,2156790,"+",1038
"aop","CG3166","FBgn0000097",TRUE,FALSE,"2L",2156484,2178754,"-",22271
"lncRNA:CR43751","CR43751","FBgn0265017",FALSE,FALSE,"2L",2181962,2185495,"+",3534
"lncRNA:CR44066","CR44066","FBgn0264875",FALSE,FALSE,"2L",2186975,2187970,"-",996
"tRNA:Arg-TCT-3-1","CR31946","FBgn0051946",FALSE,FALSE,"2L",2187007,2187079,"+",73
"lncRNA:CR45290","CR45290","FBgn0266828",FALSE,FALSE,"2L",2188620,2189405,"-",786
"CG10874","CG10874","FBgn0031395",TRUE,FALSE,"2L",2189914,2192386,"-",2473
"asRNA:CR44065","CR44065","FBgn0264874",TRUE,FALSE,"2L",2190191,2191272,"+",1082
"COX7AL2","CG34172","FBgn0085201",TRUE,FALSE,"2L",2192525,2197912,"-",5388
"CG31668","CG31668","FBgn0051668",FALSE,FALSE,"2L",2203721,2206166,"-",2446
"CG33124","CG33124","FBgn0053124",FALSE,FALSE,"2L",2206525,2209102,"-",2578
"CG15385","CG15385","FBgn0031397",TRUE,FALSE,"2L",2209574,2212571,"-",2998
"Uch","CG4265","FBgn0010288",TRUE,FALSE,"2L",2212738,2214211,"-",1474
"CG34174","CG34174","FBgn0085203",TRUE,FALSE,"2L",2214266,2215167,"+",902
"daed","CG10880","FBgn0031398",TRUE,FALSE,"2L",2214972,2216311,"-",1340
"CG42371","CG42371","FBgn0259717",FALSE,FALSE,"2L",2216503,2217246,"-",744
"CG15386","CG15386","FBgn0040715",FALSE,FALSE,"2L",2216503,2217246,"-",744
"mio","CG7074","FBgn0031399",TRUE,FALSE,"2L",2217290,2220625,"+",3336
"papi","CG7082","FBgn0031401",TRUE,FALSE,"2L",2220748,2225544,"+",4797
"CG15387","CG15387","FBgn0031403",TRUE,FALSE,"2L",2225545,2226294,"-",750
"sau","CG7085","FBgn0267378",TRUE,FALSE,"2L",2226342,2231099,"+",4758
"asRNA:CR44114","CR44114","FBgn0264945",TRUE,FALSE,"2L",2226753,2227604,"-",852
"Sec24CD","CG10882","FBgn0262126",TRUE,FALSE,"2L",2231106,2236844,"-",5739
"asRNA:CR44115","CR44115","FBgn0264946",TRUE,FALSE,"2L",2236347,2237022,"+",676
"Tengl3","CG31679","FBgn0051679",TRUE,FALSE,"2L",2237076,2238251,"-",1176
"Tengl2","CG32463","FBgn0052463",TRUE,FALSE,"2L",2238304,2239384,"-",1081
"Tengl1","CG31682","FBgn0051682",TRUE,FALSE,"2L",2239414,2240593,"-",1180
"CG4267","CG4267","FBgn0264979",TRUE,FALSE,"2L",2242378,2245274,"+",2897
"lncRNA:CR42859","CR42859","FBgn0262106",TRUE,FALSE,"2L",2245230,2247383,"+",2154
"Ser12","CG17240","FBgn0011832",FALSE,FALSE,"2L",2250431,2251275,"-",845
"CG17239","CG17239","FBgn0042186",FALSE,FALSE,"2L",2251510,2252341,"-",832
"CG17234","CG17234","FBgn0042187",FALSE,FALSE,"2L",2253045,2253852,"+",808
"Send1","CG17012","FBgn0031406",FALSE,FALSE,"2L",2254176,2255050,"-",875
"lncRNA:CR44787","CR44787","FBgn0266022",FALSE,FALSE,"2L",2257635,2258000,"-",366
"lncRNA:CR44788","CR44788","FBgn0266023",FALSE,FALSE,"2L",2259396,2259730,"-",335
"CG4270","CG4270","FBgn0031407",TRUE,FALSE,"2L",2263442,2264241,"+",800
"CG34049","CG34049","FBgn0054049",TRUE,FALSE,"2L",2264231,2265321,"-",1091
"CG17242","CG17242","FBgn0250841",TRUE,FALSE,"2L",2268106,2269140,"-",1035
"lncRNA:CR43753","CR43753","FBgn0264084",TRUE,FALSE,"2L",2271319,2279714,"-",8396
"lncRNA:CR43754","CR43754","FBgn0264085",FALSE,FALSE,"2L",2283705,2285003,"-",1299
"CG4271","CG4271","FBgn0031409",FALSE,FALSE,"2L",2285163,2285926,"+",764
"CG31681","CG31681","FBgn0051681",FALSE,FALSE,"2L",2285925,2286873,"-",949
"CG42658","CG42658","FBgn0261523",TRUE,FALSE,"2L",2287025,2287907,"-",883
"CG17237","CG17237","FBgn0031410",TRUE,FALSE,"2L",2288503,2289416,"-",914
"robl22E","CG10838","FBgn0028570",TRUE,FALSE,"2L",2290224,2290738,"-",515
"CG31949","CG31949","FBgn0051949",TRUE,FALSE,"2L",2300103,2300888,"+",786
"CG16995","CG16995","FBgn0031412",TRUE,FALSE,"2L",2307948,2308872,"+",925
"CG9967","CG9967","FBgn0031413",TRUE,FALSE,"2L",2308761,2357356,"-",48596
"eys","CG33955","FBgn0031414",TRUE,FALSE,"2L",2311680,2358944,"+",47265
"Rab5","CG3664","FBgn0014010",TRUE,FALSE,"2L",2359142,2365273,"-",6132
"Axud1","CG4272","FBgn0261647",TRUE,FALSE,"2L",2365345,2370137,"+",4793
"CG3597","CG3597","FBgn0031417",TRUE,FALSE,"2L",2370152,2371524,"-",1373
"CG3609","CG3609","FBgn0031418",TRUE,FALSE,"2L",2372455,2374627,"-",2173
"CG15390","CG15390","FBgn0031419",TRUE,FALSE,"2L",2374713,2375697,"+",985
"asRNA:CR44982","CR44982","FBgn0266317",FALSE,FALSE,"2L",2374955,2375582,"-",628
"Atxn7","CG9866","FBgn0031420",TRUE,FALSE,"2L",2375841,2380506,"+",4666
"Eogt","CG9867","FBgn0264672",TRUE,FALSE,"2L",2381097,2383073,"+",1977
"PIG-Wa","CG9870","FBgn0031422",TRUE,FALSE,"2L",2383202,2384747,"+",1546
"CG3557","CG3557","FBgn0031423",TRUE,FALSE,"2L",2384761,2385792,"-",1032
"CG43750","CG43750","FBgn0264081",TRUE,FALSE,"2L",2389578,2390689,"-",1112
"CG46448","CG46448","FBgn0287218",FALSE,FALSE,"2L",2391660,2392105,"+",446
"VGlut","CG9887","FBgn0031424",FALSE,FALSE,"2L",2400295,2410662,"+",10368
"CG18641","CG18641","FBgn0031426",TRUE,FALSE,"2L",2410624,2415322,"-",4699
"CG31948","CG31948","FBgn0051948",TRUE,FALSE,"2L",2415359,2416720,"-",1362
"CG34448","CG34448","FBgn0085477",FALSE,FALSE,"2L",2416792,2417965,"-",1174
"CG34447","CG34447","FBgn0085476",FALSE,FALSE,"2L",2418422,2420013,"-",1592
"CG9886","CG9886","FBgn0031428",TRUE,FALSE,"2L",2420830,2424647,"+",3818
"CG44139","CG44139","FBgn0264988",TRUE,FALSE,"2L",2424797,2425041,"+",245
"lncRNA:CR44912","CR44912","FBgn0266217",FALSE,FALSE,"2L",2427050,2427881,"-",832
"dpp","CG9885","FBgn0000490",TRUE,FALSE,"2L",2428372,2459823,"+",31452
"tRNA:Tyr-GTA-1-2","CR31986","FBgn0012017",FALSE,FALSE,"2L",2459924,2460044,"-",121
"tRNA:Tyr-GTA-1-3","CR31987","FBgn0012016",FALSE,FALSE,"2L",2462593,2462686,"+",94
"lncRNA:CR45286","CR45286","FBgn0266824",TRUE,FALSE,"2L",2471644,2472978,"-",1335
"Slh","CG3539","FBgn0264978",TRUE,FALSE,"2L",2488197,2492671,"-",4475
"oaf","CG9884","FBgn0011818",TRUE,FALSE,"2L",2492955,2498846,"+",5892
"lncRNA:CR44607","CR44607","FBgn0265818",FALSE,FALSE,"2L",2507312,2507596,"-",285
"CG3528","CG3528","FBgn0031430",TRUE,FALSE,"2L",2517102,2518037,"-",936
"asRNA:CR46069","CR46069","FBgn0267738",FALSE,FALSE,"2L",2517205,2518845,"+",1641
"lncRNA:CR44112","CR44112","FBgn0264943",TRUE,FALSE,"2L",2532999,2533569,"-",571
"CG3515","CG3515","FBgn0031431",TRUE,FALSE,"2L",2551145,2552825,"-",1681
"lncRNA:CR44113","CR44113","FBgn0264944",FALSE,FALSE,"2L",2555750,2556089,"+",340
"Cyp309a1","CG9964","FBgn0031432",FALSE,FALSE,"2L",2562483,2564830,"-",2348
"Cyp309a2","CG18559","FBgn0041337",TRUE,FALSE,"2L",2564886,2573037,"-",8152
"Rad1","CG3240","FBgn0026778",FALSE,FALSE,"2L",2573436,2575052,"-",1617
"Sws1","CG34314","FBgn0085343",FALSE,FALSE,"2L",2573436,2575052,"-",1617
"insv","CG3227","FBgn0031434",TRUE,FALSE,"2L",2575280,2576997,"-",1718
"Elba2","CG9883","FBgn0031435",TRUE,FALSE,"2L",2577687,2579179,"+",1493
"ND-B17.2","CG3214","FBgn0031436",TRUE,FALSE,"2L",2579201,2580172,"-",972
"Arpc5","CG9881","FBgn0031437",TRUE,FALSE,"2L",2580292,2581423,"+",1132
"Drp1","CG3210","FBgn0026479",TRUE,FALSE,"2L",2581281,2585430,"-",4150
"CG15394","CG15394","FBgn0250835",TRUE,FALSE,"2L",2591869,2592773,"+",905
"lncRNA:CR44790","CR44790","FBgn0266025",FALSE,FALSE,"2L",2598608,2599860,"-",1253
"lncRNA:CR44789","CR44789","FBgn0266024",TRUE,FALSE,"2L",2601033,2601721,"-",689
"CG15395","CG15395","FBgn0031440",TRUE,FALSE,"2L",2609994,2611283,"+",1290
"CG43403","CG43403","FBgn0263322",FALSE,FALSE,"2L",2620187,2620782,"+",596
"lncRNA:TS11","CR45705","FBgn0267269",FALSE,FALSE,"2L",2625456,2627986,"-",2531
"lncRNA:CR46328","CR46328","FBgn0284414",FALSE,FALSE,"2L",2637669,2638540,"-",872
"lncRNA:TS4","CR46327","FBgn0284413",FALSE,FALSE,"2L",2639185,2640081,"+",897
"lncRNA:CR43852","CR43852","FBgn0264434",TRUE,FALSE,"2L",2646030,2646281,"+",252
"CG9962","CG9962","FBgn0031441",TRUE,FALSE,"2L",2646577,2647720,"-",1144
"CG43851","CG43851","FBgn0264433",TRUE,FALSE,"2L",2647886,2648361,"+",476
"CG33125","CG33125","FBgn0053125",TRUE,FALSE,"2L",2648360,2652414,"-",4055
"Prosbeta4R1","CG17301","FBgn0031442",TRUE,FALSE,"2L",2653046,2653926,"+",881
"Or23a","CG9880","FBgn0026395",TRUE,FALSE,"2L",2654049,2655462,"+",1414
"Prosbeta4R2","CG17302","FBgn0031443",TRUE,FALSE,"2L",2655394,2657102,"+",1709
"Trf4","CG9879","FBgn0031444",TRUE,FALSE,"2L",2665062,2666265,"+",1204
"Gr23a","CG15396","FBgn0041248",FALSE,FALSE,"2L",2669823,2672186,"+",2364
"CG31690","CG31690","FBgn0051690",TRUE,FALSE,"2L",2677734,2719431,"+",41698
"Trf5","CG15398","FBgn0031446",TRUE,FALSE,"2L",2695330,2696437,"-",1108
"CG31689","CG31689","FBgn0031449",TRUE,FALSE,"2L",2725674,2739830,"+",14157
"mir-4914","CR43549","FBgn0263564",FALSE,FALSE,"2L",2737568,2737661,"+",94
"Hrs","CG2903","FBgn0031450",TRUE,FALSE,"2L",2739986,2743377,"+",3392
"CG9961","CG9961","FBgn0031451",TRUE,FALSE,"2L",2743375,2744934,"-",1560
"Cwc25","CG2843","FBgn0031452",TRUE,FALSE,"2L",2745098,2746944,"+",1847
"Pgk","CG3127","FBgn0250906",TRUE,FALSE,"2L",2746880,2753068,"-",6189
"Bacc","CG9894","FBgn0031453",TRUE,FALSE,"2L",2752445,2757975,"+",5531
"lncRNA:CR44772","CR44772","FBgn0265997",FALSE,FALSE,"2L",2757940,2758176,"-",237
"HemK2","CG9960","FBgn0031454",FALSE,FALSE,"2L",2758427,2759677,"-",1251
"Snapin","CG9958","FBgn0031455",FALSE,FALSE,"2L",2758427,2759677,"-",1251
"Tnpo-SR","CG2848","FBgn0031456",TRUE,FALSE,"2L",2759924,2763889,"+",3966
"Snx21","CG3077","FBgn0031457",TRUE,FALSE,"2L",2763416,2765665,"-",2250
"aph-1","CG2855","FBgn0031458",TRUE,FALSE,"2L",2766233,2767281,"+",1049
"Taf10b","CG3069","FBgn0026324",TRUE,FALSE,"2L",2767286,2767845,"-",560
"Taf10","CG2859","FBgn0028398",TRUE,FALSE,"2L",2767890,2768612,"+",723
"colt","CG3057","FBgn0019830",TRUE,FALSE,"2L",2768590,2770069,"-",1480
"HINT1","CG2862","FBgn0031459",TRUE,FALSE,"2L",2770135,2770904,"+",770
"CG15399","CG15399","FBgn0031460",TRUE,FALSE,"2L",2770884,2771776,"-",893
"Syt1","CG3139","FBgn0004242",TRUE,FALSE,"2L",2772327,2799979,"-",27653
"lncRNA:CR43821","CR43821","FBgn0264369",TRUE,FALSE,"2L",2797832,2798321,"+",490
"daw","CG16987","FBgn0031461",TRUE,FALSE,"2L",2805261,2812376,"+",7116
"CG2964","CG2964","FBgn0031462",TRUE,FALSE,"2L",2812437,2814429,"+",1993
"G6P","CG15400","FBgn0031463",TRUE,FALSE,"2L",2814336,2815760,"-",1425
"Duox","CG3131","FBgn0283531",TRUE,FALSE,"2L",2815970,2830248,"-",14279
"CG3123","CG3123","FBgn0031465",TRUE,FALSE,"2L",2823546,2825506,"-",1961
"CG3119","CG3119","FBgn0031466",FALSE,FALSE,"2L",2834887,2837833,"-",2947
"Cpr23B","CG2973","FBgn0031467",FALSE,FALSE,"2L",2838411,2839547,"+",1137
"asRNA:CR45342","CR45342","FBgn0266881",FALSE,FALSE,"2L",2840025,2840316,"-",292
"CG2975","CG2975","FBgn0031468",FALSE,FALSE,"2L",2840124,2842638,"+",2515
"CG18558","CG18558","FBgn0031469",TRUE,FALSE,"2L",2842589,2844513,"-",1925
"CG18557","CG18557","FBgn0031470",TRUE,FALSE,"2L",2844601,2845734,"-",1134
"CG3117","CG3117","FBgn0031471",FALSE,FALSE,"2L",2845926,2847212,"-",1287
"CG2983","CG2983","FBgn0031472",FALSE,FALSE,"2L",2847632,2848997,"+",1366
"CG3104","CG3104","FBgn0031473",TRUE,FALSE,"2L",2848989,2855778,"-",6790
"RpS21","CG2986","FBgn0015521",TRUE,FALSE,"2L",2856070,2857029,"+",960
"CG2991","CG2991","FBgn0031474",TRUE,FALSE,"2L",2857164,2868548,"+",11385
"Ifrd1","CG31694","FBgn0051694",TRUE,FALSE,"2L",2868627,2874489,"-",5863
"CG8813","CG8813","FBgn0031476",TRUE,FALSE,"2L",2869652,2870649,"+",998
"CG8814","CG8814","FBgn0031478",TRUE,FALSE,"2L",2874890,2877168,"+",2279
"Prx6a","CG3083","FBgn0031479",TRUE,FALSE,"2L",2877091,2878232,"-",1142
"Sbat","CG31950","FBgn0051950",TRUE,FALSE,"2L",2878344,2879001,"+",658
"RabGGTb","CG18627","FBgn0028970",TRUE,FALSE,"2L",2879112,2880708,"+",1597
"NTPase","CG3059","FBgn0024947",TRUE,FALSE,"2L",2880704,2885850,"-",5147
"lilli","CG8817","FBgn0041111",TRUE,FALSE,"2L",2885929,2954406,"+",68478
"Rbp9","CG3151","FBgn0010263",TRUE,FALSE,"2L",2954762,2968434,"+",13673
"Ts","CG3181","FBgn0024920",TRUE,FALSE,"2L",2968293,2969638,"-",1346
"Rrp1","CG3178","FBgn0004584",TRUE,FALSE,"2L",2969773,2972508,"-",2736
"gammaTub23C","CG3157","FBgn0260639",TRUE,FALSE,"2L",2972891,2974858,"+",1968
"CG9641","CG9641","FBgn0031483",TRUE,FALSE,"2L",2974859,2976862,"-",2004
"CG3165","CG3165","FBgn0031484",TRUE,FALSE,"2L",2977122,2978500,"+",1379
"CG9643","CG9643","FBgn0031485",TRUE,FALSE,"2L",2978411,2979288,"-",878
"Chd1","CG3733","FBgn0250786",TRUE,FALSE,"2L",2979562,2987723,"-",8162
"Bem46","CG18642","FBgn0025109",TRUE,FALSE,"2L",2988116,2990075,"+",1960
"okr","CG3736","FBgn0002989",TRUE,FALSE,"2L",2989594,2992759,"-",3166
"CG3558","CG3558","FBgn0025681",TRUE,FALSE,"2L",2992870,2998726,"+",5857
"Ccdc85","CG17265","FBgn0031488",TRUE,FALSE,"2L",2999286,3016069,"+",16784
"CG17224","CG17224","FBgn0031489",TRUE,FALSE,"2L",3016441,3018308,"-",1868
"CG17264","CG17264","FBgn0031490",TRUE,FALSE,"2L",3018508,3021506,"+",2999
"alpha4GT1","CG17223","FBgn0031491",TRUE,FALSE,"2L",3021309,3023141,"-",1833
"Prp40","CG3542","FBgn0031492",TRUE,FALSE,"2L",3023226,3026439,"+",3214
"Sf3b2","CG3605","FBgn0031493",TRUE,FALSE,"2L",3026252,3029168,"-",2917
"CG17219","CG17219","FBgn0031494",TRUE,FALSE,"2L",3029253,3030616,"+",1364
"asRNA:CR44147","CR44147","FBgn0264996",TRUE,FALSE,"2L",3030412,3030903,"-",492
"GABPI","CG17257","FBgn0031495",TRUE,FALSE,"2L",3030539,3032300,"+",1762
"CG17258","CG17258","FBgn0031496",TRUE,FALSE,"2L",3032210,3035348,"-",3139
"SerRS","CG17259","FBgn0031497",TRUE,FALSE,"2L",3035493,3037403,"-",1911
"CG17260","CG17260","FBgn0031498",TRUE,FALSE,"2L",3037230,3038793,"+",1564
"cnir","CG17262","FBgn0243513",TRUE,FALSE,"2L",3038826,3039812,"-",987
"CG17221","CG17221","FBgn0031500",TRUE,FALSE,"2L",3039976,3041890,"+",1915
"CG17261","CG17261","FBgn0031501",TRUE,FALSE,"2L",3042551,3043593,"+",1043
"FASN2","CG3524","FBgn0042627",TRUE,FALSE,"2L",3043947,3056143,"+",12197
"snRNA:LU","CR43708","FBgn0263847",TRUE,FALSE,"2L",3046765,3046880,"+",116
"snRNA:U5:23D","CR32999","FBgn0003934",FALSE,FALSE,"2L",3048701,3048831,"+",131
"FASN1","CG3523","FBgn0283427",TRUE,FALSE,"2L",3056598,3068177,"+",11580
"toc","CG9660","FBgn0015600",TRUE,FALSE,"2L",3068345,3144786,"-",76442
"PpD6","CG8822","FBgn0005779",TRUE,FALSE,"2L",3109672,3110998,"+",1327
"CG15403","CG15403","FBgn0031504",TRUE,FALSE,"2L",3128635,3129489,"+",855
"ND-B14.5B","CG12400","FBgn0031505",TRUE,FALSE,"2L",3144953,3145848,"-",896
"Mad","CG12399","FBgn0011648",TRUE,FALSE,"2L",3146056,3159643,"-",13588
"gkt","CG8825","FBgn0260817",TRUE,FALSE,"2L",3159950,3162399,"+",2450
"Hydr2","CG3488","FBgn0014906",TRUE,FALSE,"2L",3163645,3169462,"+",5818
"tRNA:Ser-AGA-2-3","CR31734","FBgn0011985",FALSE,FALSE,"2L",3169582,3169663,"+",82
"CG44002","CG44002","FBgn0264744",TRUE,FALSE,"2L",3169820,3171092,"-",1273
"tRNA:Ser-AGA-2-4","CR31951","FBgn0011984",FALSE,FALSE,"2L",3173003,3173084,"-",82
"CG31698","CG31698","FBgn0051698",FALSE,FALSE,"2L",3173205,3173840,"-",636
